ASP,CLS,SENT,PRED,P-1,P0,P+1,T/F
price,1,and cheap !,1,0.12211384624242783,0.053589530289173126,0.8242966532707214,True
service,-1,"the staff is n't the friendliest or most competent , and i am stickler for service , but everything else about this place makes up for it .",1,0.07135475426912308,0.007471830118447542,0.9211734533309937,False
service,-1,"the service is always bad though , do n't expect much of anything from your server , and i would not recommend bringing a date here either .",-1,0.5052253007888794,0.06873809546232224,0.42603665590286255,True
miscellaneous,1,i absolutely love this place ! ! !,1,0.00904817134141922,0.002538991393521428,0.9884127974510193,True
ambience,1,a restaurant that does n't try to do anything except serve great food with great service in a pleasant atmosphere .,1,0.015824170783162117,0.0036269016563892365,0.9805489182472229,True
miscellaneous,-1,this place was not all that !,-1,0.6138615012168884,0.019459357485175133,0.3666791319847107,True
food,1,the food is great .,1,0.006133554503321648,0.016773387789726257,0.9770931005477905,True
miscellaneous,1,highly recommended ! ! ! ! !,1,0.008987505920231342,0.0013277922989800572,0.9896847009658813,True
food,1,"the food was really good , i had the onion soup and it was one of the best ever .",1,0.008250657469034195,0.0020045237615704536,0.9897448420524597,True
service,1,a++ the service was good to excellent along with the attitude .,1,0.0020124842412769794,0.0029651252552866936,0.9950224161148071,True
service,1,we had a 3 hour brunch- they definitely do not rush you- and they kept the unlimited mimosas flowing the whole time .,1,0.09221147745847702,0.0109628327190876,0.8968256711959839,True
miscellaneous,1,i 've been eating at taj mahal for over twenty years and have found them to be the most excellent of the indian eateries on this block of indian restaurants .,1,0.017458047717809677,0.08352773636579514,0.8990141749382019,True
price,1,"anyway , the food is good , the price is right and they have a decent wine list .",1,0.049255888909101486,0.01376836933195591,0.9369757175445557,True
food,0,"each table has a pot of boiling water sunken into its surface , and you get platters of thin sliced meats , various vegetables , and rice and glass noodles .",1,0.3823075294494629,0.015254078432917595,0.6024383306503296,False
food,-1,the soup for the udon was soy sauce and water .,-1,0.603779137134552,0.14718244969844818,0.24903838336467743,True
miscellaneous,0,we went to this restaurant based on prior internet comments .,0,0.2184566855430603,0.7538868188858032,0.02765652909874916,True
food,1,"the corned beef and pastrami are excellent , much less fatty than those big tourist places around times square .",1,0.004202479962259531,0.0030906025785952806,0.9927069544792175,True
miscellaneous,1,tuk tuk is one of the rare choices for me to go in brooklyn .,1,0.013960102573037148,0.06977329403162003,0.9162666201591492,True
food,1,the location and ambience is ok but the food is what makes up for it .,1,0.06988520920276642,0.09175791591405869,0.8383568525314331,True
miscellaneous,-1,your money could easily be better spent elsewhere ( anywhere ) .,-1,0.5030643939971924,0.020088549703359604,0.47684699296951294,True
ambience,1,"after dinner , take your date to the huge dance floor , probably one of the biggest you 'll see in ny .",1,0.036638084799051285,0.04675424098968506,0.9166076183319092,True
miscellaneous,1,"my wife and i will usually only order one primi and one secondi and split them , as they tend to offer large portions .",1,0.003170579904690385,0.0716262087225914,0.9252031445503235,True
food,1,the food was pretty tradional but it was hot and good with large portions .,1,0.08927223086357117,0.013809113763272762,0.8969187140464783,True
food,0,"$ 160 for 2 filets , 2 sides , an appetizer and drinks .",0,0.06372249871492386,0.6604666113853455,0.2758108675479889,True
service,1,"the only positive was the wait staff , which was prompt , knowledgable , and likeable .",1,0.0031621872913092375,0.0020305090583860874,0.9948073029518127,True
food,1,"top spot in town for vietnamese classics , better than places that cost a lot more .",1,0.24677275121212006,0.14981231093406677,0.6034149527549744,True
price,1,and they provided a delicious dessert on the house !,1,0.008319386281073093,0.00876571424305439,0.982914924621582,True
food,-1,they were such a rip-off ( $ 8.95 for four small meat patties in steamed buns ) and not worth trying .,-1,0.7803060412406921,0.016193686053156853,0.20350025594234467,True
miscellaneous,0,really .,1,0.18802452087402344,0.1710387021303177,0.6409367918968201,False
miscellaneous,-1,this restaurant used to be pretty decent .,1,0.425302654504776,0.03570389747619629,0.5389934182167053,False
food,1,"saul is pretty good , but definitely not great .",1,0.018513601273298264,0.010895677842199802,0.9705907106399536,True
miscellaneous,0,suan has challenged this loyalty .,1,0.3122512102127075,0.33188551664352417,0.35586321353912354,False
miscellaneous,0,"yeah the crowd can take it a bit seriously , but it should n't .",-1,0.6545198559761047,0.0454532764852047,0.30002686381340027,False
ambience,1,not the typical nyc gimmick theme restaurant .,-1,0.5988550186157227,0.23742035031318665,0.1637246310710907,False
food,1,our agreed favorite is the orrechiete with sausage and chicken ( usually the waiters are kind enough to split the dish in half so you get to sample both meats ) .,1,0.005143614485859871,0.004865625873208046,0.9899908304214478,True
food,1,"no food snobs allowed , this place is for people who appreciate good food .",1,0.1714446097612381,0.12219444662332535,0.706360936164856,True
price,1,"but their best dish is thh thai spiced curry noodles with shrimp - a dish that would cost $ 23.95 is most places , but it is $ 16 here .",1,0.10490120947360992,0.004907809663563967,0.8901910185813904,True
food,-1,"this place is really trendi but they have forgotten about the most important part of a restaurant , the food .",1,0.18810835480690002,0.032850656658411026,0.7790409922599792,False
service,1,"also , if you do n't want to sit at a certain table , you do n't have to !",1,0.3929212987422943,0.06682591140270233,0.5402528047561646,True
miscellaneous,1,love pizza 33..,1,0.020749427378177643,0.18937066197395325,0.7898799777030945,True
miscellaneous,1,me and my girls will definitely go back .,1,0.0680236965417862,0.021898940205574036,0.9100773334503174,True
miscellaneous,1,"this place is really trendi but they have forgotten about the most important part of a restaurant , the food .",1,0.2989620268344879,0.04957138001918793,0.6514665484428406,True
food,1,"the waitress remembers me and is very friendly , she knows what my regular is and that 's the fried mini buns with the condensed milk and the assorted fruits on beancurd .",1,0.004037019331008196,0.004359039478003979,0.9916039109230042,True
food,1,"i recommend the garlic shrimp , okra ( bindi ) , and anything with lamb .",1,0.0030937958508729935,0.02226806804537773,0.9746381044387817,True
food,-1,"if you do n't mind pre-sliced low quality fish , unfriendly staff and a sushi chef that looks like he is miserable then this is your place .",-1,0.6599847674369812,0.008086632937192917,0.33192864060401917,True
food,1,"this place , however , has a lot less pretension than joya and the thai food is still above-average .",1,0.321598619222641,0.302460640668869,0.37594074010849,True
service,-1,"the food arrived 20 minutes after i called , cold and soggy .",-1,0.7199947834014893,0.22622305154800415,0.0537821426987648,True
food,1,"all i can say is $ 2 pints during happy hour and the some of the cheapest oysters you 'll find in the city , though the quality is some of the best .",1,0.003725820453837514,0.0011004401603713632,0.9951737523078918,True
